MonthYr,Population,MonthYr,Employed,Unemployed,LabourForce,Party,PrimeMinister
Jan-76,16852.4,Jan-76,9636.7,733,10369.7,Liberal,Pierre Trudeau
Feb-76,16892,Feb-76,9659.8,730,10389.8,Liberal,Pierre Trudeau
Mar-76,16930.7,Mar-76,9704.2,691.5,10395.7,Liberal,Pierre Trudeau
Apr-76,16969.4,Apr-76,9738.2,713.1,10451.3,Liberal,Pierre Trudeau
May-76,17008.1,May-76,9726.1,720,10446.1,Liberal,Pierre Trudeau
Jun-76,17046.8,Jun-76,9748.3,721.3,10469.6,Liberal,Pierre Trudeau
Jul-76,17085.5,Jul-76,9759.5,779.9,10539.4,Liberal,Pierre Trudeau
Aug-76,17124.4,Aug-76,9780.5,743.6,10524.1,Liberal,Pierre Trudeau
Sep-76,17154.4,Sep-76,9795.2,736.7,10531.9,Liberal,Pierre Trudeau
Oct-76,17183.4,Oct-76,9782.5,782.6,10565.1,Liberal,Pierre Trudeau
Nov-76,17211.4,Nov-76,9829,780.5,10609.5,Liberal,Pierre Trudeau
Dec-76,17238.1,Dec-76,9862.6,794.8,10657.4,Liberal,Pierre Trudeau
Jan-77,17270.6,Jan-77,9869.3,811.8,10681.1,Liberal,Pierre Trudeau
Feb-77,17302.4,Feb-77,9874.2,842,10716.2,Liberal,Pierre Trudeau
Mar-77,17329.1,Mar-77,9865.7,836,10701.7,Liberal,Pierre Trudeau
Apr-77,17358.7,Apr-77,9892.6,849,10741.6,Liberal,Pierre Trudeau
May-77,17394.1,May-77,9912,837.8,10749.8,Liberal,Pierre Trudeau
Jun-77,17421.5,Jun-77,9906.9,842,10748.9,Liberal,Pierre Trudeau
Jul-77,17449.4,Jul-77,9911.4,872.9,10784.3,Liberal,Pierre Trudeau
Aug-77,17485.1,Aug-77,9936.6,882.8,10819.4,Liberal,Pierre Trudeau
Sep-77,17513.7,Sep-77,9937,902,10839,Liberal,Pierre Trudeau
Oct-77,17540.6,Oct-77,9962.1,913.4,10875.5,Liberal,Pierre Trudeau
Nov-77,17567.5,Nov-77,9976.3,925.4,10901.7,Liberal,Pierre Trudeau
Dec-77,17592.8,Dec-77,10002.3,926.6,10928.9,Liberal,Pierre Trudeau
Jan-78,17623.5,Jan-78,10013,905.1,10918.1,Liberal,Pierre Trudeau
Feb-78,17653.9,Feb-78,10067.5,913.8,10981.3,Liberal,Pierre Trudeau
Mar-78,17679.3,Mar-78,10100.3,941.2,11041.5,Liberal,Pierre Trudeau
Apr-78,17706.9,Apr-78,10128.7,931.6,11060.3,Liberal,Pierre Trudeau
May-78,17741.6,May-78,10146.7,953.9,11100.6,Liberal,Pierre Trudeau
Jun-78,17767.5,Jun-78,10207.6,938.5,11146.1,Liberal,Pierre Trudeau
Jul-78,17792,Jul-78,10255,933.4,11188.4,Liberal,Pierre Trudeau
Aug-78,17824.4,Aug-78,10287.5,948,11235.5,Liberal,Pierre Trudeau
Sep-78,17850.7,Sep-78,10305.5,947.2,11252.7,Liberal,Pierre Trudeau
Oct-78,17876.8,Oct-78,10368.8,924.8,11293.6,Liberal,Pierre Trudeau
Nov-78,17902.4,Nov-78,10387.2,945.7,11332.9,Liberal,Pierre Trudeau
Dec-78,17927.3,Dec-78,10428.3,937.8,11366.1,Liberal,Pierre Trudeau
Jan-79,17958.4,Jan-79,10483.1,938.2,11421.3,Liberal,Pierre Trudeau
Feb-79,17989.1,Feb-79,10490,917.3,11407.3,Liberal,Pierre Trudeau
Mar-79,18014.3,Mar-79,10535.9,904.9,11440.8,Liberal,Pierre Trudeau
Apr-79,18047.3,Apr-79,10560.8,914.1,11474.9,Liberal,Pierre Trudeau
May-79,18073.7,May-79,10611.4,871.8,11483.2,Liberal,Pierre Trudeau
Jun-79,18101,Jun-79,10645.4,850.7,11496.1,Transfer,Transfer
Jul-79,18133.4,Jul-79,10702.1,834.9,11537,Conservative,Joe Clark
Aug-79,18161.4,Aug-79,10742.1,821.7,11563.8,Conservative,Joe Clark
Sep-79,18189.4,Sep-79,10756.5,812.5,11569,Conservative,Joe Clark
Oct-79,18226,Oct-79,10809,843.2,11652.2,Conservative,Joe Clark
Nov-79,18255.2,Nov-79,10841.3,836.8,11678.1,Conservative,Joe Clark
Dec-79,18283.8,Dec-79,10859.9,848.1,11708,Conservative,Joe Clark
Jan-80,18317.9,Jan-80,10882.6,877.5,11760.1,Conservative,Joe Clark
Feb-80,18346.4,Feb-80,10902.9,894,11796.9,Conservative,Joe Clark
Mar-80,18373.9,Mar-80,10897.8,901,11798.8,Transfer,Transfer
Apr-80,18407.7,Apr-80,10938.3,908.3,11846.6,Liberal,Pierre Trudeau
May-80,18437,May-80,10891.6,923.9,11815.5,Liberal,Pierre Trudeau
Jun-80,18474.1,Jun-80,10936.8,918.3,11855.1,Liberal,Pierre Trudeau
Jul-80,18501.1,Jul-80,10935,905.6,11840.6,Liberal,Pierre Trudeau
Aug-80,18529,Aug-80,10970.3,907.9,11878.2,Liberal,Pierre Trudeau
Sep-80,18564,Sep-80,11051.9,876.2,11928.1,Liberal,Pierre Trudeau
Oct-80,18591.5,Oct-80,11083.1,873.1,11956.2,Liberal,Pierre Trudeau
Nov-80,18617.4,Nov-80,11127,857.7,11984.7,Liberal,Pierre Trudeau
Dec-80,18642.6,Dec-80,11140,874.1,12014.1,Liberal,Pierre Trudeau
Jan-81,18671.8,Jan-81,11206.5,892.3,12098.8,Liberal,Pierre Trudeau
Feb-81,18700.6,Feb-81,11283.3,899.8,12183.1,Liberal,Pierre Trudeau
Mar-81,18725,Mar-81,11278.7,902.4,12181.1,Liberal,Pierre Trudeau
Apr-81,18749.9,Apr-81,11315.8,868.3,12184.1,Liberal,Pierre Trudeau
May-81,18775.2,May-81,11345.8,877.2,12223,Liberal,Pierre Trudeau
Jun-81,18806.1,Jun-81,11375.6,887.9,12263.5,Liberal,Pierre Trudeau
Jul-81,18829,Jul-81,11336.4,879.4,12215.8,Liberal,Pierre Trudeau
Aug-81,18852.5,Aug-81,11353.8,861.2,12215,Liberal,Pierre Trudeau
Sep-81,18880.8,Sep-81,11328.7,1003.9,12332.6,Liberal,Pierre Trudeau
Oct-81,18904.4,Oct-81,11300.1,1020.4,12320.5,Liberal,Pierre Trudeau
Nov-81,18927.1,Nov-81,11291.5,1019.5,12311,Liberal,Pierre Trudeau
Dec-81,18949.7,Dec-81,11236,1071.7,12307.7,Liberal,Pierre Trudeau
Jan-82,18976.3,Jan-82,11205.6,1059.7,12265.3,Liberal,Pierre Trudeau
Feb-82,19001.7,Feb-82,11166.9,1092.8,12259.7,Liberal,Pierre Trudeau
Mar-82,19023.7,Mar-82,11140.5,1139.7,12280.2,Liberal,Pierre Trudeau
Apr-82,19045.6,Apr-82,11076.3,1204.8,12281.1,Liberal,Pierre Trudeau
May-82,19068.3,May-82,11021.9,1271.4,12293.3,Liberal,Pierre Trudeau
Jun-82,19096.2,Jun-82,10940.6,1364.3,12304.9,Liberal,Pierre Trudeau
Jul-82,19115.7,Jul-82,10893.6,1465.2,12358.8,Liberal,Pierre Trudeau
Aug-82,19142,Aug-82,10836.3,1478.1,12314.4,Liberal,Pierre Trudeau
Sep-82,19162.5,Sep-82,10806.7,1527,12333.7,Liberal,Pierre Trudeau
Oct-82,19183.2,Oct-82,10787.2,1602.1,12389.3,Liberal,Pierre Trudeau
Nov-82,19203.3,Nov-82,10764.1,1600.4,12364.5,Liberal,Pierre Trudeau
Dec-82,19222.6,Dec-82,10774.1,1624.4,12398.5,Liberal,Pierre Trudeau
Jan-83,19244.2,Jan-83,10801.1,1572.9,12374,Liberal,Pierre Trudeau
Feb-83,19266.5,Feb-83,10818.2,1573.6,12391.8,Liberal,Pierre Trudeau
Mar-83,19285.1,Mar-83,10874.9,1554.7,12429.6,Liberal,Pierre Trudeau
Apr-83,19304.2,Apr-83,10932.6,1553.7,12486.3,Liberal,Pierre Trudeau
